"date";"mill_site";"product_grade";"maintenance_level";"downtime_hours";"capacity_util";"wood_cost_index";"energy_cost_index";"production_ton";"defect_rate";"waste_ton";"water_withdrawal_m3";"co2_ton";"effluent_bod_mgL";"esg_score";"esg_flag";"price_index";"revenue";"opex";"ebitda";"compliance_issue";"year";"month";"kpi_target";"sigma_assumed";"revenue_billion_idr";"opex_billion_idr";"ebitda_billion_idr";"business_unit_id";"time_id";"row_id"
2010-01-01;"Jambi";"Packaging";"Low";63,2206293637851;0,656409244824578;114,054801144327;107,956567812951;272772,006520875;0,0273696559108965;7034,7417838905;9010251,88909914;114944,639822394;30,005064697769;77;"Yellow";78,4517387731312;2567932584023,82;2150250787320,4;417602325300,138;"No";2010;1;260000;40000;2567,93258402382;2150,2507873204;417,602325300138;"BU_APP";201001;"RID_BU_APP_Jambi_201001"
2010-02-01;"Jambi";"Printing";"High";15,0222177187887;0,815334021374553;141,299760136132;113,954369014207;241174,778145295;0,0263847582256705;6668,66904981101;14831947,7695738;101706,574372465;62,3009546740075;52;"Red";96,3205868101238;2787611538570,75;2233917553368,51;NA;"Yes";2010;2;260000;40000;2787,61153857075;2233,91755336851;NA;"BU_APP";201002;"RID_BU_APP_Jambi_201002"
2010-03-01;"Jambi";"Tissue";"Medium";91,8675948605761;0,681465195906869;93,4447810254332;84,0938822944708;209856,986443459;0,0359916071972311;9439,50993153121;13105602,1936707;87543,1916293611;33,2893621043145;60;"Red";76,7297579828129;1932273093697,09;1342523044298,26;590097753861,064;"Yes";2010;3;260000;40000;1932,27309369709;1342,52304429826;590,097753861064;"BU_APP";201003;"RID_BU_APP_Jambi_201003"
2010-04-01;"Jambi";"Packaging";"Medium";86,9274406247614;0,857756269290975;127,034716317656;127,403298091501;240737,419812897;0,0312287786532899;7473,53156823308;11759868,9292282;100928,575779751;33,8220186652632;65;"Yellow";94,7472128987791;2737103948125,84;2157906037075,42;579389821439,602;"No";2010;4;260000;40000;2737,10394812584;2157,90603707542;579,389821439602;"BU_APP";201004;"RID_BU_APP_Jambi_201004"
2010-05-01;"Jambi";"Tissue";"Medium";68,304449576479;0,589244450834512;113,617464645673;106,334294477451;223670,209555658;0,0309275048999097;8624,82484714295;11471329,4557021;93005,1484275606;37,7083845754095;74;"Yellow";115,427206433107;3098115294158,06;1755422893604;1342608018743,6;"No";2010;5;260000;40000;3098,11529415806;1755,422893604;1342,6080187436;"BU_APP";201005;"RID_BU_APP_Jambi_201005"
2010-06-01;"Jambi";"Packaging";"Medium";35,1467002589055;0,668395972658015;96,2757397998607;90,7942664683434;203207,309616572;0,0120664826928937;3692,54620485228;10354476,7986764;85537,4566050023;28,3730218959606;55;"Red";105,115982839306;2563240328457,25;1349013590824,12;1214474230925,04;"Yes";2010;6;260000;40000;2563,24032845725;1349,01359082412;1214,47423092504;"BU_APP";201006;"RID_BU_APP_Jambi_201006"
2010-07-01;"Jambi";"Tissue";"High";43,5180800360548;0,765563146818392;116,872677788414;77,889384858414;228708,286466804;0,0300497654180713;7578,23988955599;13836007,1320836;96185,041507779;27,0166178324028;63;"Yellow";105,130057646281;2885293840852,46;1663343917632,02;1221909259589,38;"No";2010;7;260000;40000;2885,29384085246;1663,34391763202;1221,90925958938;"BU_APP";201007;"RID_BU_APP_Jambi_201007"
2010-08-01;"Jambi";"Packaging";"High";47,9057289993585;0,756142486342896;139,45691721563;106,062830096823;358622,20363853;0,0351960148300068;14035,5751711252;12031198,5201254;150309,94742722;45,6027385959265;41;"Red";98,6844927249514;4246854029516,71;3229538910081,53;1017498747348,33;"Yes";2010;8;260000;40000;4246,85402951671;3229,53891008153;1017,49874734833;"BU_APP";201008;"RID_BU_APP_Jambi_201008"
2010-09-01;"Jambi";"Printing";"Medium";68,6210984042557;0,602862194535242;149,608211264933;102,30959226717;168909,753759045;0,0196516632624191;1322,80113083252;13563232,2822084;70694,0670449962;22,7386605963929;69;"Yellow";106,186607311997;2152314443229,34;1571835678816,66;580334816549,444;"No";2010;9;260000;40000;2152,31444322934;1571,83567881666;580,334816549444;"BU_APP";201009;"RID_BU_APP_Jambi_201009"
2010-10-01;"Jambi";"Printing";"Low";50,3473372415215;0,708996158328115;87,2398965092709;127,439359927942;356427,353027288;0,047847139533541;18425,0032099789;12149215,5568069;149389,009404484;29,1383357095404;49;"Red";81,5841475208563;3489458609981,59;2571682692287,99;917840190739,689;"Yes";2010;10;260000;40000;3489,45860998159;2571,68269228799;917,840190739689;"BU_APP";201010;"RID_BU_APP_Jambi_201010"
