Year;IND_GDP_Anual_Growth;IND_Import_K-10X;IND_Export_K10X;CHN_Export_B;CHN_Import_B;USD-RP;Harga_Minyak_Dunia-M;IND_GDP_K;IND FDI_10X;IND Interest Rate;IND Industrial Production;Consumer Price Index_10X;Core Inflation;CPI Transportation_10X;Total_Aset_Lancar;Total Aset Tidak Lancar;TOTAL ASET_10X;Total Liabilitas Jangka Pendek_C;Total Liabilitas Jangka Panjang_C;TOTAL LIABILITAS_C;EKUITAS NETO_C;Pendapatan Operasi_C;Pendapatan Keuangan x10_C;Beban Operasi_C;Beban Keuangan_C;Beban Konstruksi_C;LABA USAHA_C;Bagian Laba Entitas Asosiasi X010_C;LABA SEBELUM PAJAK PENGHASILAN BADAN_C;LABA TAHUN BERJALAN_C;EBITDA
 13,00 ; 2,02 ; 12,48 ; 14,18 ; 37,27 ; 33,32 ; 10,76 ; 4,01 ; 2,86 ; 38,83 ; 3,91 ; (0,93); 8,67 ; 2,02 ; 8,67 ; 19,27 ; 60,14 ; 7,94 ; 10,24 ; 39,83 ; 50,07 ; 28,90 ; 19,75 ; 5,23 ; (15,10); (1,70); (2,05); 4,65 ; 0,38 ; 2,63 ; 2,39 ; 8,67 
 14,00 ; 3,27 ; 12,82 ; 14,12 ; 30,06 ; 28,84 ; 12,00 ; 4,64 ; 2,36 ; 32,96 ; 3,04 ; 2,44 ; 8,00 ; 1,79 ; 8,00 ; 17,78 ; 51,34 ; 6,91 ; 9,82 ; 33,80 ; 43,62 ; 25,12 ; 17,83 ; 6,03 ; (13,52); (1,36); (1,34); 4,34 ; 0,58 ; 2,68 ; 2,02 ; 8,30 
 15,00 ; 3,52 ; 12,34 ; 13,34 ; 34,21 ; 31,11 ; 12,00 ; 4,15 ; 2,63 ; 36,54 ; 3,97 ; 2,44 ; 8,91 ; 2,09 ; 8,91 ; 18,52 ; 53,39 ; 7,19 ; 9,20 ; 35,09 ; 44,29 ; 27,63 ; 18,69 ; 7,05 ; (14,21); (1,48); (2,54); 4,68 ; 0,70 ; 3,34 ; 2,17 ; 6,90 
 16,00 ; 5,03 ; 13,57 ; 14,52 ; 32,12 ; 21,41 ; 13,28 ; 4,34 ; 3,45 ; 39,65 ; 5,58 ; 4,03 ; 13,56 ; 3,36 ; 13,56 ; 28,89 ; 51,82 ; 8,08 ; 9,12 ; 41,36 ; 50,47 ; 30,24 ; 21,38 ; 7,65 ; (15,38); (1,38); (1,39); 5,91 ; 1,20 ; 2,50 ; 2,58 ; 8,40 
 17,00 ; 5,07 ; 15,70 ; 16,88 ; 32,12 ; 21,41 ; 13,38 ; 5,09 ; 3,45 ; 43,06 ; 4,56 ; 4,74 ; 13,89 ; 3,15 ; 13,89 ; 32,61 ; 57,21 ; 8,99 ; 11,16 ; 44,61 ; 55,77 ; 34,05 ; 25,26 ; 11,35 ; (17,39); (1,78); (0,32); 7,43 ; 1,30 ; 3,32 ; 3,14 ; 10,80 
 18,00 ; 5,17 ; 18,87 ; 18,00 ; 34,76 ; 28,57 ; 14,23 ; 6,48 ; 3,59 ; 39,27 ; 5,06 ; 4,05 ; 14,23 ; 2,81 ; 14,23 ; 36,04 ; 69,91 ; 10,60 ; 12,92 ; 54,18 ; 67,10 ; 38,89 ; 28,03 ; 14,97 ; (20,58); (1,77); (0,78); 6,80 ; 1,50 ; 3,40 ; 2,60 ; 9,61 
 19,00 ; 5,03 ; 17,13 ; 16,77 ; 43,19 ; 34,15 ; 14,14 ; 5,71 ; 3,74 ; 42,57 ; 5,63 ; 4,01 ; 13,77 ; 3,14 ; 13,77 ; 30,17 ; 78,98 ; 10,92 ; 12,13 ; 55,72 ; 67,85 ; 41,33 ; 27,68 ; 16,31 ; (21,17); (2,09); (6,61); 7,15 ; 1,43 ; 7,20 ; 2,72 ; 11,10 
 20,00 ; (2,01); 14,16 ; 16,32 ; 45,65 ; 34,11 ; 14,51 ; 3,97 ; 3,89 ; 41,28 ; 4,25 ; (10,15); 10,26 ; 2,27 ; 10,26 ; 27,88 ; 90,69 ; 11,86 ; 13,68 ; 64,62 ; 78,30 ; 38,51 ; 26,59 ; 7,00 ; (20,68); (2,54); (3,92); 5,72 ; (0,04); 3,40 ; 2,96 ; 9,10 
 21,00 ; 3,74 ; 19,62 ; 23,16 ; 40,98 ; 37,48 ; 14,29 ; 6,79 ; 3,78 ; 45,40 ; 3,52 ; 8,38 ; 10,32 ; 1,39 ; 10,32 ; 23,38 ; 92,85 ; 11,62 ; 13,54 ; 60,64 ; 74,18 ; 40,51 ; 28,81 ; 4,08 ; (22,50); (2,54); (3,20); 6,54 ; 0,26 ; 4,18 ; 3,18 ; 9,40 
 22,00 ; 5,31 ; 23,75 ; 29,19 ; 59,84 ; 63,92 ; 14,87 ; 9,25 ; 3,89 ; 65,45 ; 4,00 ; 3,98 ; 11,16 ; 2,76 ; 11,16 ; 21,62 ; 96,73 ; 11,84 ; 19,95 ; 55,60 ; 75,55 ; 41,12 ; 29,70 ; 3,80 ; (23,15); (2,57); (2,40); 7,11 ; 0,30 ; 4,74 ; 3,91 ; 10,20 
