kabko,lat,long
KAB. ACEH BARAT,4.454274499999999,96.15269850000001
KAB. ACEH BARAT DAYA,3.7963426,97.0068393
KAB. ACEH BESAR,5.4529168,95.4777811
KAB. ACEH JAYA,4.7873684,95.6457951
KAB. ACEH SELATAN,3.3115056,97.35165579999999
KAB. ACEH SINGKIL,2.3589459,97.87216
KAB. ACEH TAMIANG,4.2328871,98.0028892
KAB. ACEH TENGAH,4.448264099999999,96.83509989999999
KAB. ACEH TENGGARA,3.3088666,97.69822719999999
KAB. ACEH TIMUR,4.5224111,97.6114217
KAB. ACEH UTARA,4.9786331,97.2221421
KAB. BENER MERIAH,4.7513606,96.95252239999999
KAB. BIREUEN,5.1086446,96.663812
KAB. GAYO LUES,3.955165,97.35165579999999
KAB. NAGAN RAYA,4.1248406,96.49297969999999
KAB. PIDIE,5.074265899999999,95.94097099999999
KAB. PIDIE JAYA,5.1548063,96.19513200000002
KAB. SIMEULUE,2.6439724,96.02557379999999
KOTA BANDA ACEH,5.5482904,95.3237559
KOTA LANGSA,4.4725348,97.9756343
KOTA LHOKSEUMAWE,5.1811638,97.14132219999999
KOTA SABANG,5.8926053,95.3237608
KOTA SUBULUSSALAM,2.7121164,97.9157099
KAB. ASAHAN,2.8174722,99.634135
KAB. BATUBARA,3.1740979,99.5006143
KAB. DAIRI,2.8675801,98.265058
KAB. DELI SERDANG,3.4201802,98.70407499999999
KAB. HUMBANG HASUNDUTAN,2.1988508,98.5721016
KAB. KARO,3.1052909,98.265058
KAB. LABUHANBATU,2.3439863,100.1703257
KAB. LABUHANBATU SELATAN,1.8799353,100.1703257
KAB. LABUHANBATU UTARA,2.3465638,99.8124935
KAB. LANGKAT,3.8653916,98.3088441
KAB. MANDAILING NATAL,0.7432371999999999,99.3673084
KAB. NIAS,1.0869444,97.7416703
KAB. NIAS BARAT,1.0116383,97.4814163
KAB. NIAS SELATAN,0.7086091,97.8286368
KAB. NIAS UTARA,1.3166036,97.394882
KAB. PADANG LAWAS,1.1186977,99.8124935
KAB. PADANG LAWAS UTARA,1.5758644,99.634135
KAB. PAKPAK BHARAT,2.5135376,98.2212979
KAB. SAMOSIR,2.6274431,98.7921836
KAB. SERDANG BEDAGAI,3.3371694,99.05710889999999
KAB. SIMALUNGUN,2.9781612,99.2785583
KAB. TAPANULI SELATAN,1.5774933,99.2785583
KAB. TAPANULI TENGAH,1.8493299,98.70407499999999
KAB. TAPANULI UTARA,2.0405246,99.1013498
KAB. TOBA SAMOSIR,2.3502398,99.2785583
KOTA BINJAI,3.6135482,98.50252859999999
KOTA GUNUNGSITOLI,1.2804692,97.61467569999999
KOTA MEDAN,3.5951956,98.6722227
KOTA PADANGSIDEMPUAN,1.3721801,99.2730146
KOTA PEMATANGSIANTAR,2.970042,99.0681668
KOTA SIBOLGA,1.7368371,98.78511209999999
KOTA TANJUNGBALAI,2.9662346,99.79854569999999
KOTA TEBING TINGGI,3.3262879,99.1566855
KAB. AGAM,-0.2209392,100.1703257
KAB. DHARMASRAYA,-1.1120568,101.6157773
KAB. KEPULAUAN MENTAWAI,-1.426001,98.92453429999999
KAB. LIMA PULUH KOTA,0.07341919999999999,100.5296115
KAB. PADANG PARIAMAN,-0.5546757,100.2151578
KAB. PASAMAN,0.2209392,100.1703257
KAB. PASAMAN BARAT,0.2213005,99.634135
KAB. PESISIR SELATAN,-1.7223147,100.8903099
KAB. SIJUNJUNG,-0.6647006999999999,101.0711758
KAB. SOLOK,-0.9643838,100.8903099
KAB. SOLOK SELATAN,-1.4157329,101.2523792
KAB. TANAH DATAR,-0.4797042999999999,100.5746224
KOTA BUKITTINGGI,-0.3039178,100.383479
KOTA PADANG,-0.9470831999999999,100.417181
