"date";"region";"project_type";"sales_channel";"interest_rate";"consumer_conf";"marketing_spend";"construction_progress";"material_index";"unit_price_sqm";"cost_sqm";"avg_unit_size_sqm";"units_sold";"revenue";"construction_cost";"profit";"profit_margin";"water_use_m3";"energy_kwh";"co2_ton";"sediment_tss_mgL";"esg_score";"esg_flag";"schedule_delay_days";"cost_overrun_pct";"at_risk";"year";"month";"kpi_target";"sigma_assumed";"revenue_billion_idr";"construction_cost_billion_idr";"profit_billion_idr"
2010-01-01;"Jabodetabek";"Commercial";"Agent";8,62457803647116;103,310779830342;11,8591725804918;0,648748798580705;100,055863917947;19,4603875529402;11,6208971227196;42,2090665945474;467;383596038881,011;229066871992,766;152119718912,134;39,656227774375;2699,02169945804;3173108,61842638;1060,48281518144;NA;69;"Yellow";44;14,2940012030445;"Yes";2010;1;18;8;383,596038881011;229,066871992766;152,119718912134
2010-02-01;"Jabodetabek";"Residential";"Agent";9,61730005618596;72,9493035104879;9,89549521977746;0,649498331576719;109,657497744996;21,2084937929154;13,0114205270502;63,2782055777518;809;1085706663050,06;666081528462,132;417566078065,897;38,460303531051;2270,29610525581;4325141,00101259;1521,60514535923;71,7957758236548;47;"Red";77;13,2065054105901;"Yes";2010;2;18;8;1085,70666305006;666,081528462132;417,566078065897
2010-03-01;"Jabodetabek";"Residential";"Direct";5,45346812326107;78,8264305358935;5,77781278261899;0,451724492107617;70;16,404288450687;10,0790191816983;62,2266147190257;564;575721802158,613;353731349257,976;220798704534,259;38,3516315877556;2446,70363835919;4085927,54042643;1322,85808066096;148,241628436913;42;"Red";46;18,1591664657282;"Yes";2010;3;18;8;575,721802158613;353,731349257976;220,798704534259
2010-04-01;"Jabodetabek";"Residential";"Agent";6,55999974832042;89,8583920960631;10,1906357166136;0,432846507701312;84,8577083131427;20,6586014858534;12,3577552745627;45,3141413338221;568;531720015293,791;318069247237,621;211642076851,755;39,8032932303323;3143,97356704125;3949963,50918856;1327,49979205636;82,6499286123635;43;"Red";56;-2,43131501588943;"Yes";2010;4;18;8;531,720015293791;318,069247237621;211,642076851755
2010-05-01;"Jabodetabek";"Residential";"Direct";5,25424941932023;99,6778318530278;4,98773690109327;0,643514841345531;79,5536242598109;18,9692291464048;10,4926214683439;95,4708950924873;568;1028653274346,76;568988299239,281;458645771221,445;44,5870132006048;2457,54946848131;4024964,01953111;1391,07910283178;88,9477921671433;45;"Red";14;17,5873750403556;"Yes";2010;5;18;8;1028,65327434676;568,988299239281;458,645771221445
2010-06-01;"Jabodetabek";"Commercial";"Digital";3,02301233133757;79,2259198525773;7,44225382661562;0,389790325480029;88,2964158468106;19,1146958742475;12,1404911371;75,7536745070861;492;712420157183,366;452485912466,368;258396878563,358;36,2702930227241;3137,02382402169;2953516,1753932;1067,16922028825;159,965916210781;54;"Red";63;19,1414453074693;"Yes";2010;6;18;8;712,420157183366;452,485912466368;258,396878563358
2010-07-01;"Jabodetabek";"Residential";"Agent";7,40424746392826;102,091812946548;5,89157699787763;0,47537080013356;104,325459502167;20,8535726141729;13,9071916164396;24,9630418911846;469;244146676565,027;NA;80176908765,9312;32,8396478272668;1841,82938089287;3126785,55838065;1201,79149144071;106,436658327218;61;"Yellow";52;17,5580009976638;"Yes";2010;7;18;8;244,146676565027;NA;80,1769087659312
2010-08-01;"Jabodetabek";"Residential";"Digital";5,05621440244824;101,959504483096;6,74025317408156;0,567103738841133;97,1594403821898;21,579555325925;13,8772983095065;58,7518565229818;467;592080784204,076;380753057309,548;209919969402,898;35,4546161610513;2332,60323603249;2476548,1933955;790,890628311482;58,0752520912293;71;"Yellow";41;17,7588155772092;"Yes";2010;8;18;8;592,080784204076;380,753057309548;209,919969402898
2010-09-01;"Jabodetabek";"Commercial";"Direct";7,22899915751639;110,41110303392;8,13609196902394;0,266551018085844;122,326575954829;22,2024113459633;13,5566850601631;57,3064157729587;337;428778787509,107;261810255298,978;165293904026,74;38,5499257057414;2710,65621669878;2292424,59748411;730,1058896058;65,4234270219929;75;"Yellow";55;9,24543137405812;"Yes";2010;9;18;8;428,778787509107;261,810255298978;165,29390402674
2010-10-01;"Jabodetabek";"Industrial";"Agent";8,66870699675366;106,766789076561;9,32348828648404;0,112863805908978;117,410484165266;23,1430708603907;14,6938349045417;41,9511006028007;205;199029845254,009;126366621995,882;70815206403,351;35,5801946753132;1060,93918645878;2815593,85672104;795,098591113894;80,7547875557878;81;"Green";42;7,59966910774537;"No";2010;10;18;8;199,029845254009;126,366621995882;70,815206403351
